Full_search,Skyline,is_equal
6140322,3914,True
10050561,2359,True
2461251,1839,True
1501751,3467,True
1139301,2015,True
225836,1255,True
3086213,3171,True
1705021,3505,True
1043291,3285,True
1757024,570,True
6539609,4997,True
16720705,1754,True
4103752,2536,True
4108227,3956,True
8899132,1440,True
741912,766,True
2669558,3186,True
1165860,3563,True
1295299,2188,True
4464782,3396,True
2178284,3443,True
4167412,1634,True
2265612,990,True
3276459,1942,True
3249834,3510,True
25690761,2445,True
7549367,1838,True
1624862,1081,True
7102139,1780,True
1083312,4556,True
3612860,2720,True
0,0,True
2728873,1929,True
0,0,True
426991,777,True
16729079,4290,True
7851694,2096,True
3462905,1222,True
5431698,1216,True
9109359,3702,True
6378250,3432,True
1004090,1068,True
4841640,5977,True
448096,1625,True
8912301,1596,True
17487007,246,True
2255170,3837,True
4749676,2284,True
572405,1695,True
819530,3633,True
8345910,1445,True
3944786,4160,True
1059242,468,True
991352,1632,True
236705,428,True
1441093,1810,True
4609177,2119,True
0,0,True
2449733,6159,True
3346172,1970,True
561395,1273,True
13099629,1394,True
1508275,1689,True
1383406,2348,True
488556,3382,True
9987876,3067,True
4262887,2760,True
8517231,255,True
3735247,2515,True
4674349,1928,True
4041625,3368,True
11963010,2474,True
0,0,True
308798,910,True
53660,299,True
0,0,True
3393031,2504,True
13408027,2320,True
2706045,1611,True
7206893,2631,True
12036790,3044,True
0,0,True
0,0,True
6604612,4164,True
4379329,1615,True
1743404,1393,True
587304,1677,True
2556480,2478,True
1363614,653,True
667169,2263,True
1242211,2816,True
3668075,1957,True
4170294,761,True
8229397,2137,True
527242,3246,True
4818489,2617,True
6150393,3326,True
1181216,1222,True
1063008,2678,True
1211969,1076,True
