fixed,fixed-strong,fixed-one_weak,strong-fixed,strong-strong,strong-one_weak,one_weak-fixed,one_weak-strong,one_weak-one_weak
59.45773277343969,60.57277927336702,60.57277927336702,59.39518663586107,60.51023313578841,60.51023313578841,59.39518663586107,60.51023313578841,60.51023313578841
60.68642003021608,0,0,59.8887925946886,0,0,0,0,0
62.154806156694846,61.80248332266173,60.03428059118774,63.83432206413045,63.48199923009733,61.71379649862334,63.21527204822042,62.8629492141873,61.094746482713305
62.01381148054556,0,63.07769881070513,62.57489154681931,0,63.638778876978876,62.57489154681931,0,63.638778876978876
58.64672833769501,60.24009156341612,58.849061614102105,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
59.519970535018885,58.27625671286904,59.18340770514134,0,0,0,60.07842309527257,58.834709273122726,59.741860265395026
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
61.1565340126055,60.187177104717485,60.187177104717485,0,0,0,0,0,0
60.02569697584524,59.275838441897804,60.2955798008994,60.387965357392105,59.638106823444666,60.65784818244626,59.45627319369076,58.706414659743324,59.726156018744916
61.277556460193956,61.29960024500597,60.7132708045733,61.29547485066342,61.31751863547543,60.73118919504276,0,0,0
63.0637122063439,0,61.795080916827864,63.16811059204945,0,61.899479302533415,62.7509452566527,0,61.48231396713666
62.281525644296636,61.53949904088663,61.29997917255137,60.86351372831544,60.121487124905435,59.88196725657017,60.86351372831544,60.121487124905435,59.88196725657017
0,0,0,0,0,0,0,0,0
60.80525492941243,0,0,61.038061355279524,0,0,61.038061355279524,0,0
58.33821630538233,58.57904079129207,59.170355891462805,58.37278555090566,58.6136100368154,59.204925136986134,58.71089367245726,58.951718158367,59.54303325853773
62.42401296509527,60.80368936737545,60.935739057537695,0,0,0,62.559536264090895,60.93921266637106,61.07126235653331
0,0,0,0,0,0,60.864771771934905,59.620945759709905,59.620945759709905
59.04638260512161,0,60.790885556921786,58.71323999439485,0,60.457742946195026,0,0,0
61.716093047770244,62.359048602304156,0,60.689784779269644,61.33274033380356,0,0,0,0
60.703638181351856,0,61.76428063585043,58.67684009838681,0,59.73748255288539,58.67684009838681,0,59.73748255288539
61.17424525046553,60.30431095588153,58.68567913447727,0,0,0,64.81566628400984,63.94573198942583,62.327100168021566
58.081743133578044,58.75194497467171,58.75194497467171,58.20495746955716,58.87515931065082,58.87515931065082,58.388916451769006,59.05911829286267,59.05911829286267
57.1108582826034,56.985005823653694,56.985005823653694,57.16748011795289,57.04162765900318,57.04162765900318,56.05201013962904,55.926157680679324,55.926157680679324
61.92674040758573,59.54634412744812,61.2004451874093,0,0,0,63.244515866131636,60.86411958599402,62.5182206459552
60.040807297318736,54.713341750292,58.4272751178182,0,0,0,60.635289853305544,55.3078243062788,59.021757673805006
58.66809663740495,0,59.21862757525339,61.14119244085263,0,61.69172337870107,60.27159720307511,0,60.82212814092355
64.65764395689467,64.01675664625263,62.858878916497424,64.89216962134655,64.25128231070451,63.093404580949304,64.89216962134655,64.25128231070451,63.093404580949304
58.32735103263039,55.976857009019525,55.976857009019525,58.37527585400554,56.02478183039467,56.02478183039467,57.05739692158211,54.70690289797125,54.70690289797125
60.182995215130866,0,59.348111694311235,60.46454636143966,0,59.62966284062003,0,0,0
62.21734803413445,62.670465860536574,0,60.86809133933831,61.32120916574043,0,60.86809133933831,61.32120916574043,0
57.96044444652706,55.51071805720179,0,58.56782755267589,56.118101163350616,0,57.72217434669373,55.272447957368456,0
60.18574084238904,0,60.56857913646601,59.529871844175815,0,59.91271013825279,60.174290909657074,0,60.55712920373405
60.907778705464466,60.7837838053734,59.65679880886213,58.63160839289169,58.50761349280063,57.380628496289354,0,0,0
