fixed,fixed-strong,fixed-one_weak,strong-fixed,strong-strong,strong-one_weak,one_weak-fixed,one_weak-strong,one_weak-one_weak
59.81464968989789,0,0,59.57759369106172,0,0,59.591265217675854,0,0
60.02452306479936,0,0,57.46972716128446,0,0,58.03586786704808,0,0
63.847111594531306,0,61.86034181921018,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
61.25784755593368,61.17365930338204,0,0,0,0,0,0,0
59.13095059157257,0,0,58.350831346394315,0,0,0,0,0
0,0,0,0,0,0,0,0,0
60.98860908419143,60.17651286130158,61.50857075580891,61.548892702247464,60.736796479357615,62.068854373864944,61.548892702247464,60.736796479357615,62.068854373864944
62.442950799170696,0,0,0,0,0,62.20755244493261,0,0
59.17197851084284,0,0,60.92230853447438,0,0,59.7537558860294,0,0
59.650753270254405,0,0,60.81697353403441,0,0,60.81697353403441,0,0
60.21419215182859,0,0,59.54747384424159,0,0,58.59014367498546,0,0
60.69030938304445,57.577904862860784,57.577904862860784,62.00190597525173,58.889501455068064,58.889501455068064,62.00190597525173,58.889501455068064,58.889501455068064
59.3440015184186,0,0,60.85929598660845,0,0,0,0,0
57.86927768937829,56.64136772480411,56.64136772480411,58.210455796932706,56.982545832358525,56.982545832358525,60.329014822693594,59.10110485811941,59.10110485811941
59.365508680828555,56.866392222950196,56.99414169790453,58.3176693422332,55.818552884354844,55.94630235930918,59.085158774472035,56.58604231659368,56.71379179154801
61.139902195854575,61.484460304247726,61.484460304247726,59.6582444038487,60.00280251224185,60.00280251224185,59.6582444038487,60.00280251224185,60.00280251224185
59.39379465487597,60.231770697377264,60.231770697377264,56.99646010211005,57.834436144611345,57.834436144611345,60.39939911369068,61.23737515619197,61.23737515619197
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
64.66276553563901,64.79989217093653,64.86782981771,62.49568402259846,62.632810657895966,62.70074830466945,57.8317232726875,57.968849907984996,58.03678755475848
0,0,0,63.475754483880365,62.73500084869994,62.73500084869994,61.24730782015821,60.50655418497779,60.50655418497779
64.73554582110765,64.6554902012493,64.6554902012493,0,0,0,64.25426713561721,64.17421151575886,64.17421151575886
62.172632813914994,0,61.225684714495976,63.428839687298314,0,62.481891587879296,63.39262232483846,0,62.445674225419445
61.54847709866823,60.61529059927397,60.61529059927397,0,0,0,60.745980211597264,59.812793712203,59.812793712203
60.613652665201016,60.31826408459389,61.0009219514825,61.96071695321055,61.665328372603426,62.34798623949204,0,0,0
62.15420974360399,62.90283190967885,0,0,0,0,62.83002559989312,63.57864776596798,0
61.80785342340217,60.40409635593602,61.38710512106751,62.10587633539111,60.70211926792496,61.68512803305645,61.62097787053357,60.21722080306742,61.200229568198914
60.510742098427265,59.66813833916724,59.31036219295221,61.949724497632694,61.10712073837267,60.74934459215764,60.80659850347687,59.96399474421685,59.60621859800182
57.215592474449736,56.987466038748764,56.987466038748764,56.90906073833196,56.68093430263099,56.68093430263099,54.850981823933736,54.622855388232765,54.622855388232765
60.642079448368236,61.571995981145875,60.41779426587245,59.240991131522904,60.17090766430054,59.01670594902711,58.58489001524899,59.51480654802663,58.3606048327532
61.388598165636466,61.30067342306289,0,62.42185173615019,62.33392699357661,0,0,0,0
60.621151297097455,60.45231492074742,60.45231492074742,61.4551133272991,61.28627695094907,61.28627695094907,61.4551133272991,61.28627695094907,61.28627695094907
62.97280209717093,59.46621243545942,62.250375661461796,61.95039222637425,58.44380256466274,61.22796579066512,61.54448030184005,58.037890640128545,60.82205386613092
62.536014320314386,0,0,62.59291738462735,0,0,62.59291738462735,0,0
65.86375238001656,64.65668380993817,64.65668380993817,64.09944104393074,62.892372473852355,62.892372473852355,0,0,0
0,0,0,0,0,0,0,0,0
63.544678479275454,63.374024522843584,63.599823724443375,61.86549489738948,61.69484094095762,61.9206401425574,63.032767371405576,62.862113414973706,63.0879126165735
61.04229843041337,60.92677316397914,61.06904603504158,61.749563115804094,61.63403784936987,61.776310720432306,0,0,0
61.13670239597656,61.23521629604939,61.23521629604939,0,0,0,62.04783041624616,62.14634431631898,62.14634431631898
59.85141521150652,58.39133727885666,59.06263977331877,0,0,0,60.401449540370166,58.941371607720306,59.61267410218242
62.901149185244925,61.675423503148195,61.32673944917109,61.28650301473795,60.06077733264122,59.71209327866412,64.02348229917884,62.7977566170821,62.449072563105
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
59.37978714810792,59.38289574315642,59.38289574315642,62.372240839618954,62.37534943466745,62.37534943466745,0,0,0
62.252798639399025,62.68963320207189,63.33044490268774,0,0,0,0,0,0
59.22020266016825,58.386495161353324,58.386495161353324,60.351052436479115,59.51734493766419,59.51734493766419,60.351052436479115,59.51734493766419,59.51734493766419
60.893585897511414,0,59.41770863030829,62.03755713936559,0,60.561679872162465,0,0,0
59.344297378154685,60.49543001720188,0,56.72762968954208,57.878762328589275,0,57.15341951391803,58.30455215296523,0
62.257322632451896,60.385563975744,60.54007833592126,0,0,0,61.51499279048968,59.64323413378178,59.79774849395904
0,0,0,0,0,0,0,0,0
