version3_count,version4_count,is_equal
35132,12203,True
19650,8084,True
10523,4947,True
14446,5362,True
3528,1742,True
3300,1100,True
18640,9950,True
12318,4106,True
0,0,True
17626,8376,True
8624,4592,True
3483,1559,True
17788,8662,True
11277,3909,True
0,0,True
50869,16552,True
9827,3805,True
11438,6302,True
775,381,True
21192,9710,True
23100,11156,True
6386,2042,True
17827,8935,True
14763,7629,True
24045,13175,True
18343,8877,True
13750,7108,True
25545,13163,True
8982,2868,True
22098,12416,True
9123,4199,True
9894,4004,True
26020,12212,True
14309,6793,True
17370,9390,True
5248,2782,True
29080,13159,True
16845,7877,True
29213,15181,True
5585,2237,True
7151,3015,True
10577,5337,True
14334,4778,True
32532,12131,True
20942,11132,True
24183,8209,True
34266,12928,True
56547,25866,True
18317,8835,True
11436,5272,True
28778,15080,True
10284,3037,True
24878,10895,True
16531,6655,True
45677,21397,True
35821,17956,True
7603,3623,True
24930,11698,True
22509,10763,True
9600,3697,True
24055,9164,True
21136,11728,True
15227,8089,True
36851,18811,True
22162,10934,True
16105,6246,True
8486,4170,True
0,0,True
27903,9627,True
4224,1408,True
14559,8043,True
0,0,True
25790,13276,True
9670,3778,True
39678,16134,True
18267,8634,True
38733,20749,True
19764,10884,True
40688,14240,True
25392,13054,True
0,0,True
23974,12832,True
38213,11839,True
15788,7542,True
53654,25321,True
20175,6725,True
9258,3904,True
0,0,True
9777,5215,True
15932,7850,True
6372,2124,True
29427,16521,True
42095,18096,True
5088,2248,True
8712,4302,True
7604,3198,True
27644,11130,True
37419,18851,True
0,0,True
89452,37835,True
3164,1488,True
17178,6238,True
14148,7086,True
0,0,True
12178,5426,True
45531,13552,True
8396,4042,True
10609,5323,True
22139,7527,True
9941,4793,True
0,0,True
42977,16500,True
24252,8084,True
7571,3125,True
5622,2674,True
15126,7758,True
11334,3778,True
12264,4088,True
50458,23935,True
10965,4992,True
40807,17264,True
0,0,True
18374,8918,True
32966,13992,True
11205,5277,True
37718,16693,True
0,0,True
20330,9980,True
6519,2173,True
7481,3086,True
15087,6869,True
24414,11728,True
13892,6540,True
19804,9848,True
14346,5577,True
16773,9133,True
29498,16370,True
73249,33486,True
11199,4576,True
0,0,True
58364,25370,True
4788,2300,True
12221,6015,True
14571,8055,True
7104,3474,True
29022,15293,True
8089,3435,True
28456,12376,True
6339,2469,True
22870,11390,True
23877,12757,True
19778,9710,True
16200,7538,True
9372,4196,True
27639,12708,True
0,0,True
21045,5374,True
8398,3618,True
0,0,True
18122,8026,True
28128,7859,True
8946,4338,True
7811,3913,True
13564,6600,True
7551,3243,True
34340,15154,True
19047,6349,True
9372,4854,True
17371,7175,True
47403,17260,True
29033,11230,True
6079,3289,True
27986,12259,True
5580,1860,True
11685,5889,True
11331,4471,True
23456,9292,True
2725,1527,True
13836,7124,True
0,0,True
29686,11965,True
29872,14138,True
12573,4797,True
8281,3765,True
22561,11439,True
30370,14736,True
7909,2332,True
17841,8369,True
9948,3316,True
9024,3008,True
30510,11900,True
14563,7335,True
54242,25652,True
20154,8870,True
12737,4296,True
17619,8233,True
21971,7899,True
15945,4844,True
7184,2971,True
28927,10282,True
17862,8970,True
23341,12765,True
14559,7825,True
2086,1046,True
9765,4645,True
30669,16253,True
29303,12481,True
0,0,True
12615,6433,True
47039,21645,True
8329,3536,True
27812,10938,True
16707,7835,True
9190,4846,True
16825,9745,True
14165,7743,True
39738,13246,True
12890,6686,True
11160,3056,True
15792,7656,True
6780,2962,True
19975,7520,True
9013,5007,True
22503,11633,True
38481,18949,True
0,0,True
8382,3672,True
7166,1945,True
6537,2278,True
51892,23973,True
30180,16870,True
14441,7441,True
4010,1806,True
11673,3891,True
57031,28075,True
43603,16035,True
9795,3265,True
0,0,True
0,0,True
33606,15578,True
0,0,True
21397,11763,True
12557,6447,True
14621,6209,True
17982,5994,True
4376,1800,True
21261,7087,True
12291,5732,True
16071,8349,True
13407,4469,True
24871,10450,True
15373,7773,True
19110,7794,True
0,0,True
21698,9547,True
7581,3887,True
25205,13627,True
17031,6889,True
17505,6751,True
9909,5219,True
21501,11159,True
17667,7480,True
58670,24811,True
11128,3574,True
4752,1674,True
17045,6316,True
14595,4865,True
4865,2325,True
3162,1696,True
49966,25775,True
15156,6255,True
38916,14406,True
8375,4247,True
14307,4320,True
2463,1065,True
49354,25740,True
6866,3242,True
38869,15355,True
15776,8536,True
41031,23703,True
0,0,True
27471,14587,True
13404,6306,True
9156,3052,True
7462,3762,True
27418,14898,True
34165,18789,True
25255,11174,True
24267,10058,True
13983,4991,True
48061,17343,True
26904,10891,True
6032,3184,True
2585,1077,True
49891,20124,True
8723,4461,True
8081,3575,True
12607,6039,True
18086,8430,True
14934,3011,True
19492,10836,True
15923,8225,True
39245,18014,True
0,0,True
