fixed_count,version3_1,version3_2,version3_3,version4_1,version4_2,version4_3,is_equal
3514,7236,9166,16350,4736,6666,8758,True
175,350,871,2088,175,696,696,True
1124,6434,10502,15812,4064,6548,4736,True
4169,11901,14099,17849,7782,8459,9611,True
4341,7473,7473,11903,4341,4341,5639,True
1510,4535,6147,9172,2739,3545,2739,True
0,0,0,0,0,0,0,True
601,1240,3002,7172,766,2528,3612,True
1534,6264,8768,12114,3132,4038,4038,True
0,0,0,0,0,0,0,True
924,5018,7263,9663,3277,4399,4403,True
1449,8451,11349,12798,5640,6664,7176,True
837,3428,4530,5941,2192,2661,2791,True
1560,3120,3120,4680,1560,1560,1560,True
5534,17405,22053,27883,9944,11281,12961,True
4460,8866,8866,11746,5986,5986,5986,True
0,0,2010,6029,0,2010,2991,True
771,4899,7606,9935,2942,4206,4993,True
3792,9076,12597,21428,6039,9042,10348,True
9053,23536,31109,47675,14634,18814,18133,True
1093,4572,6847,10104,2808,4201,3208,True
3752,13489,17036,22018,9115,10713,10767,True
6543,13086,13086,19629,6543,6543,6543,True
2313,10494,16020,23237,6279,9352,11381,True
1453,5016,7753,12697,2904,4586,5011,True
3071,9216,12334,18479,6093,8138,7507,True
3167,12218,17006,22629,7055,8999,10503,True
0,0,0,0,0,0,0,True
2248,7643,12688,21447,5083,9146,11573,True
3764,9121,12533,20729,5532,7797,7528,True
1535,4465,5715,8645,2879,3715,3680,True
0,0,0,0,0,0,0,True
1544,4592,5344,6888,2296,2296,2296,True
1296,4104,5468,7980,2735,3606,4368,True
2727,7445,10221,16078,4233,5867,6386,True
2402,4582,4582,6317,2847,2847,2847,True
0,0,0,0,0,0,0,True
1572,5006,6815,10127,3419,4633,5843,True
3027,8874,11113,15798,4437,5266,5266,True
741,3345,5567,9108,1920,3267,3641,True
1019,5987,9539,13875,3981,6225,6909,True
1149,8592,11093,12040,5144,5144,5144,True
1188,4752,7024,10380,3228,4738,5808,True
2383,8010,11254,16881,4005,5627,4005,True
605,4100,5545,6150,2050,2050,2050,True
1448,6947,10228,14140,4164,5796,6646,True
1658,5572,6700,7828,3316,3316,3316,True
2270,5002,6092,9489,3221,4311,4507,True
4058,11772,14257,17575,7099,7581,8229,True
655,1276,2165,4530,818,1707,2308,True
1030,5931,8742,11624,3749,5097,5824,True
0,0,0,0,0,0,0,True
1807,7810,11042,15111,5094,6858,6253,True
3192,6625,6625,10031,4133,4133,5047,True
1696,3116,3116,4259,1973,1973,1973,True
4023,20224,30537,42950,13445,19678,23848,True
2730,9020,12081,17373,4510,5791,4510,True
2602,10084,14964,22446,6698,9885,12288,True
3173,9822,10940,13159,6485,6485,6485,True
3012,5812,8681,17863,3780,6649,9631,True
0,0,0,0,0,0,0,True
991,4860,7316,10472,3143,4582,3143,True
2200,12177,18395,25597,8279,11974,14297,True
