fixed_count,version3_count,version4_count,is_equal
1318,10898,4638,True
4653,24106,10742,True
558,1440,702,True
0,0,0,True
3198,8747,4045,True
4768,20597,8733,True
1419,12084,4028,True
764,13041,3744,True
800,7521,3277,True
1045,7196,3116,True
669,6488,1993,True
1355,6856,2708,True
1943,20564,7631,True
2883,11634,5018,True
4657,33136,17624,True
3268,13671,6240,True
318,3484,1053,True
2865,14591,7959,True
2229,23601,7064,True
0,0,0,True
3246,15540,7430,True
0,7395,4041,True
3055,20268,10992,True
2128,19995,9393,True
2975,15990,7814,True
955,5382,2586,True
3406,10944,5372,True
1997,19281,7900,True
1461,9758,4996,True
5926,34674,19802,True
2285,20560,10842,True
2025,12312,5744,True
5095,34253,14249,True
1023,9917,4827,True
2100,9960,3204,True
565,3362,1794,True
0,0,0,True
1390,10443,5441,True
590,4121,2187,True
4191,15850,8114,True
1069,12103,6171,True
3780,20692,11280,True
0,0,0,True
0,0,0,True
513,3078,1570,True
1808,5516,2864,True
3041,28013,13089,True
3589,15410,7582,True
4229,22910,8814,True
2108,11383,5683,True
0,0,0,True
757,4542,2486,True
894,2682,894,True
1590,8348,3360,True
431,1285,675,True
2074,9824,4440,True
3942,16306,7413,True
3498,25972,10734,True
2574,7826,4182,True
3660,26496,13592,True
1264,10444,5484,True
3358,20222,10748,True
2521,10892,4666,True
911,17049,8851,True
618,6578,3632,True
2236,6678,3460,True
1422,26448,5119,True
3015,25971,13837,True
2544,13716,5936,True
1324,11706,5976,True
1158,6609,2856,True
2655,17482,7444,True
1360,7379,3605,True
2463,14808,6930,True
875,6141,2621,True
1364,9609,2594,True
760,5736,2872,True
732,14475,6605,True
0,0,0,True
5045,11163,5045,True
716,7538,2729,True
1741,8218,4484,True
1012,6133,2771,True
1792,7056,3228,True
1499,10038,4612,True
5734,13910,7042,True
504,3015,1005,True
3512,11623,5415,True
3100,8956,4304,True
2096,18009,5614,True
2358,14897,6489,True
2899,6661,2899,True
249,1185,495,True
2722,16122,6638,True
750,4027,1447,True
2443,18451,6421,True
764,9959,4429,True
2058,14040,5205,True
2327,18530,9494,True
0,0,0,True
2374,25349,9396,True
2053,8270,3786,True
1746,12222,5546,True
250,3571,1807,True
789,6675,2225,True
3300,21260,8634,True
1900,12235,6105,True
1880,14386,6843,True
188,7755,3961,True
800,5952,2128,True
2114,11778,5782,True
1081,7729,3863,True
464,7807,3987,True
762,4739,1687,True
2120,6599,3151,True
0,0,0,True
1182,2916,1182,True
2611,8234,3446,True
1834,15693,6934,True
3821,27726,15142,True
3515,9170,3976,True
902,5623,2449,True
2476,14911,5759,True
2606,18912,4455,True
7707,41248,18273,True
1605,8334,3914,True
2214,6439,3497,True
1899,8212,4358,True
3058,20869,7181,True
1591,10126,4170,True
2565,15813,5110,True
0,0,0,True
1372,7128,2766,True
735,2364,1076,True
1455,8808,4316,True
2743,18540,9536,True
1631,15533,5543,True
1529,7141,3677,True
537,11147,5705,True
6597,37713,13588,True
778,10815,5937,True
2816,11766,3922,True
0,0,0,True
420,5730,1717,True
1361,4653,2323,True
1485,6067,2871,True
2756,20770,7291,True
2560,15877,6143,True
2407,10588,5724,True
3215,27922,14922,True
3062,14266,7228,True
935,8268,4292,True
3011,15728,6664,True
0,0,0,True
6880,32134,13099,True
4249,10703,5301,True
3349,28384,15616,True
1624,14079,5176,True
685,7264,3876,True
2239,6529,3609,True
2960,22131,11155,True
3371,21537,11039,True
574,8059,4115,True
610,5825,2493,True
2078,24459,12741,True
1632,15327,8221,True
1870,18468,6156,True
1486,11649,4559,True
2563,14315,5726,True
2430,17077,6951,True
1596,15140,5142,True
0,0,0,True
2350,21339,6588,True
1530,17379,8743,True
1139,11979,2869,True
3185,20169,8262,True
1570,7535,3515,True
1805,8228,3278,True
879,5787,1404,True
2205,21445,7902,True
2539,12060,4020,True
1655,16790,6727,True
4630,19865,9002,True
3458,19858,7300,True
0,0,0,True
3592,10776,6270,True
4339,24250,12802,True
6867,38316,16480,True
11221,65572,28603,True
3789,10714,5886,True
3102,27282,10148,True
3106,8376,4240,True
838,5908,2708,True
2230,11879,5903,True
2290,10103,4183,True
2430,13050,3390,True
4491,21764,9052,True
2468,7266,3580,True
4031,14011,5595,True
1948,7021,2899,True
1816,18667,9879,True
2585,12270,6790,True
1984,17582,9880,True
939,9668,5194,True
1170,11521,3398,True
2565,21651,6009,True
428,6108,1279,True
5124,37244,16041,True
721,9732,5092,True
2947,13566,6680,True
1475,11761,5915,True
1643,9732,4160,True
4537,24442,9577,True
2918,27134,9447,True
1150,5396,2300,True
5701,28704,12636,True
3495,28680,14257,True
532,6039,2867,True
888,6940,3500,True
740,5218,2138,True
2351,13651,5974,True
2089,5230,2534,True
1564,14475,4825,True
1642,9304,4880,True
1112,11240,5920,True
0,0,0,True
2218,15856,7610,True
2297,15427,8183,True
2408,20243,10383,True
3491,26718,13100,True
2071,22101,12485,True
767,5122,2690,True
2642,24373,12305,True
3787,16725,9209,True
1254,12291,4256,True
1160,14823,7731,True
2725,26137,13235,True
2131,7341,4065,True
2472,17082,7869,True
2788,22192,10080,True
1258,12450,2704,True
1344,15759,8415,True
1711,7584,3888,True
1389,12743,5937,True
0,0,0,True
334,1002,334,True
1006,5550,1723,True
3300,23922,7351,True
0,0,0,True
3566,23965,9602,True
0,0,0,True
4105,11615,6029,True
0,0,0,True
0,0,0,True
0,0,0,True
599,4048,2158,True
936,10653,5699,True
4565,13695,7623,True
1019,9903,3300,True
2424,23043,13051,True
1405,16923,3877,True
6418,30650,10045,True
1648,14798,6047,True
2246,17196,9676,True
1006,5313,2721,True
1053,4423,2339,True
5675,31499,10216,True
3060,15766,8322,True
1005,5645,2261,True
1789,7035,3621,True
3953,13375,4689,True
3671,31623,17373,True
1975,9417,4855,True
9282,44570,17492,True
1365,11904,6522,True
1353,16252,6906,True
3962,15894,8624,True
2691,27816,11195,True
4482,21029,10823,True
1935,12451,6503,True
1843,10536,3512,True
770,8448,4266,True
1325,14966,7596,True
3305,15901,8239,True
896,5716,2220,True
0,0,0,True
2441,14838,5200,True
1282,3976,1920,True
806,8830,4544,True
1010,6453,3443,True
2236,17804,7790,True
1136,10635,4925,True
1847,5601,2543,True
1141,11550,5422,True
2969,7151,2969,True
1681,7389,3373,True
1140,4798,2390,True
1588,4764,1588,True
2350,11510,5408,True
1972,13056,7242,True
3758,19708,7827,True
0,0,0,True
495,2904,1476,True
1966,16788,9002,True
1597,4771,2359,True
4245,14081,7215,True
2381,16976,8676,True
3389,11654,5872,True
2270,19854,10840,True
3717,19246,8168,True
2069,10966,5226,True
2784,20981,11977,True
394,10512,2021,True
1101,11826,6534,True
1827,17471,7530,True
3699,36681,20405,True
1715,14422,6736,True
779,15921,5307,True
739,8388,4448,True
173,3744,1898,True
0,0,0,True
0,0,0,True
0,29284,16204,True
656,6960,3378,True
2114,9166,4946,True
1964,4923,2327,True
1602,19147,8475,True
3104,20221,10803,True
1495,9231,3077,True
2114,12844,4981,True
2653,21915,11403,True
0,6081,2027,True
0,0,0,True
1766,26413,14807,True
6699,19613,10643,True
3311,16285,7231,True
1578,14928,5042,True
1751,11893,5797,True
4979,21710,10748,True
869,5443,1753,True
0,0,0,True
0,0,0,True
835,4444,2108,True
817,6783,3153,True
1518,11044,4272,True
2382,6974,3500,True
